"variable","block"
"UniRef90_L8NQE3","mG"
"UniRef90_I4IE18","mG"
"UniRef90_S3J0U4","mG"
"UniRef90_I4GRF1","mG"
"UniRef90_I4GPD9","mG"
"UniRef90_L7EB92","mG"
"UniRef90_S3J2C3","mG"
"UniRef90_S3JGZ8","mG"
"UniRef90_I4F8P7","mG"
"UniRef90_L8NLX3","mG"
"UniRef90_I4G6G2","mG"
"UniRef90_I4GCK4","mG"
"UniRef90_I4IN92","mG"
"UniRef90_I4GYM9","mG"
"UniRef90_I4GE85","mG"
"UniRef90_J9HLA9","mG"
"UniRef90_L8NTF0","mG"
"UniRef90_I4F974","mG"
"UniRef90_S3JJC3","mG"
"UniRef90_I4FH37","mG"
"UniRef90_B0JHP3","mG"
"UniRef90_B5IIV1","mG"
"UniRef90_L7ECK6","mG"
"UniRef90_L7E7K7","mG"
"UniRef90_L7EFW7","mG"
"UniRef90_L7E1B4","mG"
"UniRef90_I4FI42","mG"
"UniRef90_I4HSV3","mG"
"UniRef90_L7EEN4","mG"
"UniRef90_I4GAL2","mG"
"UniRef90_I4F939","mG"
"UniRef90_L8NV86","mG"
"UniRef90_I4IWJ1","mG"
"UniRef90_B0JQ25","mG"
"UniRef90_L7E112","mG"
"UniRef90_B0JKV2","mG"
"UniRef90_I4F7X0","mG"
"UniRef90_B0JS75","mG"
"UniRef90_B0JNQ8","mG"
"UniRef90_I4G3N9","mG"
"UniRef90_I4F5U1","mG"
"UniRef90_I4HFK9","mG"
"UniRef90_L8NWL1","mG"
"UniRef90_I4GV59","mG"
"UniRef90_L8P3I6","mG"
"UniRef90_I4I8A0","mG"
"UniRef90_I4F8J1","mG"
"UniRef90_I4IB23","mG"
"UniRef90_I4IWE5","mG"
"UniRef90_S3J702","mG"
"UniRef90_L8NU09","mG"
"UniRef90_I4H176","mG"
"UniRef90_I4F7Z5","mG"
"UniRef90_L8NPS3","mG"
"UniRef90_I4FQ31","mG"
"UniRef90_I4HGU0","mG"
"UniRef90_I4FHY5","mG"
"UniRef90_I4HM12","mG"
"UniRef90_L7EC14","mG"
"UniRef90_I4FAW0","mG"
"UniRef90_S3J805","mG"
"UniRef90_I4GNF1","mG"
"UniRef90_B0JRE8","mG"
"UniRef90_L7E2R5","mG"
"UniRef90_I4FDH0","mG"
"UniRef90_I4IJ18","mG"
"UniRef90_I4G755","mG"
"UniRef90_I4IWX7","mG"
"UniRef90_I4IF15","mG"
"UniRef90_I4IVJ4","mG"
"UniRef90_L7E1U7","mG"
"UniRef90_I4FG38","mG"
"UniRef90_S3IQU8","mG"
"UniRef90_I4GHE1","mG"
"UniRef90_I4FHD9","mG"
"UniRef90_I4HPI6","mG"
